nct_id,description
NCT00832351,"Treatment in stroke units compared with treatment in general medical wards reduces the odds of being dead or disabled. Little is known about which components of acute stroke care that is responsible for this benefit.

Early mobilisation is one of the features of stroke unit care. In Scandinavia, any intervention aimed to reduce the time to the first out of bed episode has been focused in order to prevent complications.

However, therapeutic interventions for cerebral revascularisation and a more intensive unit approach for observation may postpone mobilisation. The aim of the present study is to identify whether early mobilisation (< 24 hours after admittance to hospital)reduce disability and mortality compared with mobilisation after 24 hours.

The study is a prospective, randomised controlled study with blinded assessment at the end of follow up. Patients admitted to the Stroke Unit, Akershus University Hospital less than 24 hours after stroke during 2009 - 2011 are screened for recruitment. Patients are randomly assigned to either mobilisation out of bed within 24 hours from admittance to hospital or mobilisation after 24 hours. Except early contra late mobilisation all patients receive standard stroke unit care.

Patients with modified Rankin Scale 0 and 1, patients with a secondary intracerebral hemorrhage, patients receiving thrombolysis or patients requiring palliative care are excluded.

All patients are assessed at admittance, discharge and 3 months poststroke. Investigations at admittance include standard blood sample, CT/MRI scan, EKG and ultrasound of carotid arteries.

Main outcome is mortality and disability 3 months poststroke. Secondary outcome measures are neurological deficits (NIH), morbidity, complications, cognitive function reflected by Mini Mental State Examination and emotional function (Hospital Anxiety and Depression scale) .

Results from this study may add important knowledge about how and when to start mobilisation of patients with acute stroke."
NCT00845455,Personality type as a predictor to develop depression and reduction in quality of life among stroke survivals.
NCT00858910,The purpose of the study is to examine if patients in the embedded motor imagery (MI) training group (EG1) need less time to perform the motor task than patients in the added MI training group (EG2).
NCT00907829,The purpose of this study is to determine whether neural block and neuromuscular electrical stimulation are effective in treating finger impairment due to stroke.
NCT03699917,Optimal fluid balance is critical to minimize anastomotic edema in patients undergoing pancreaticoduodenectomy. This study examined the effects of decreased fluid administration on rates of postoperative pancreatic leak and delayed gastric emptying.
NCT03416738,"Stroke is the leading cause of adult disability in the United States, and aphasia is common following a stroke to the left hemisphere of the brain. Aphasia therapy can improve aphasia recover; however, very little is known about how different patients respond to different types of treatments.

The purpose of this study is to understand how the following factors influence an individual's response to aphasia treatment: 1) biographical factors (e.g., age, education, gender), 2) post-stroke cognitive/linguistic abilities and learning potential, and 3) the location and extent of post-stroke brain damage. We are also interested in understanding the kinds of treatment materials that should be emphasized in speech/language treatment.

Overall, the goal of the current research is to inform the clinical management of post-stroke aphasia by identifying factors that can predict how an individual will respond to different treatment methods."
NCT01148602,"To reduce door-to-needle times in acute stroke treatment. Using an organizational behaviour intervention (a large stopwatch), we will post a visual cue to remind all parties that ""time is brain"". We hypothesize that this simple visual cue will improve door-to-CT scan times and door-to-needle treatment times, and thus improve treatment response, and reduce adverse events."
NCT00989456,"This study addresses self management and maintenance of health through evaluation of a program of patient education in combination with physical training and with a structured follow-up.

It is hypothesized that such a program will:

improve quality of life, physical functioning, coping in everyday-life
reduce hospitalization and (re-)admissions for patients with chronic disease, reduce consumption of home care services and can increase consumption of general practice and physiotherapy services in primary health care.
improve patient satisfaction and health care providers satisfaction"
NCT05407948,"A long-term follow-up study of patients who acquired a stroke or traumatic brain injury (TBI) 5-15 years ago.

Primary objective is to describe the interaction between measures of cognitive reserve and neuropsychological variables, psychological variables and healthcare usage in relation to outcome (i.e work return, satisfaction with life, psychological well-being and overall outcome) after stroke or traumatic brain injury.

Secondary objectives are to describe differences in fatigue related to cognitive reserve after stroke or TBI and to describe differences in health-care usage related to cognitive reserve after stroke or TBI."
NCT01150266,This is a pilot study of thrombolytic therapy in patients with ischemic stroke who present with stroke symptoms upon awakening.
NCT04874454,The investigators evaluate the vocal cord movement in patients with acute stroke by ultrasound. The occurrence of choking or aspiration pneumonia will be collected in one year after the index stroke.
NCT04241848,"Veterans who suffer strokes often have disturbances in the ability to walk that reduces independence and quality of life. Alterations in gait combined with general decreased activity are associated with reduced muscle strength of the paretic leg. This leads to cardiovascular deconditioning and reduced quality of life. There is a new and novel battery powered device (Keeogo powered orthotic exoskeleton) that uses motors that assist knee movement while walking, sitting down, and standing up. The Keeogo monitors hip movement to assist the knee, making it simple to learn how to use. If successful, this project will show how this device will help improve the ability to walk and provide evidence to support larger clinical trials in a home and community setting to improve mobility, increase muscle mass and strength in the legs, as well as improve general health and quality of life. Lastly, this device could be used to increase motivation and confidence in a person to walk for longer periods of time and distance, providing the ability to walk in places that were previously inaccessible."
NCT01042249,"The aim of this study is to evaluate the effect of pelvic floor muscle training (PFMT) on Lower Urinary Tract Symptoms (LUTS) in men after stroke.

120 men with LUTS or increased LUTS after stroke is included and randomized into a treatment group or a control group. The subjects in the treatment group follows a 12 week standard PFMT program, while the control group is not given specific treatment of their LUTS but like the treatment group follows the standard rehabilitation program for stroke patient. Outcome are measured by

5 questionnaires
Voiding diary
24-hour pad test
pelvic floor muscle assessment test"
NCT05524727,"In Switzerland, approximately 20'000 persons suffer a stroke each year. Despite carefully considered rehabilitation programs, full recovery is achieved only in a small proportion of stroke survivors (www.swissheart.ch). Studies suggest that motor-cognitive trainings can improve gait, balance, and mobility in chronic stoke survivors. However, little is known about the effect of motor-cognitive trainings on cognitive functioning in chronic stroke.

The aim of this study is to evaluate the effects of a motor-cognitive training added to usual care compared to usual care alone on cognitive functions, single- and dual-task mobility, gait and health-related quality of life.

In this single-blind RCT, 38 participants will be allocated randomly to either the intervention group (usual care + motor-cognitive training by means of an exergame for 12 weeks, 2x/week for 30-40 minutes) or the control group (usual care only). Both groups will attend three assessments, at baseline, post-intervention (12 weeks after baseline), and at follow-up (24 weeks after baseline). Global cognitive functioning will be the primary endpoint and a linear mixed model will be used for analysis.

Motor-cognitive trainings, especially exergames, bear the potential for further development of innovative long-term rehabilitation solutions for chronic stroke survivors. Cognitive deficits are a common unmet need restricting daily activities mentioned by chronic stroke survivors. Exergame training following personally tailored progression to generate optimal training load may help addressing this unmet need. Therefore, this study will contribute to the on-going research objective on how to improve the long-term care of stroke patients."
NCT00361530,"Carotid ultrasound can reveal the intima-media complex thickness(IMT), that has been reported to be a marker of atherosclerosis as well as a risk of cardiovascular events, and to be attenuated by 3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase inhibitors (statins) . This substudy of J-STARS will observe the temporal profile of carotid IMT prospectively in the patients with prescription of pravastatin and the control."
NCT00361660,The first purpose of this study is to determine how often people should practice motor skills to best improve the ability to use the affected arm and hand after stroke. The second purpose is to determine whether it is better to practice a lot of repetitions of a few tasks or a few repetitions of many tasks during motor rehabilitation for the arm and hand after stroke.
NCT00361699,"Inhibition of 3-hydroxy-3-methylglutaryl-coenzyme A(HMG-CoA) reductase can play a role in preventing recurrent vascular events from ischemic heart disease patients, whose mechanism consists in not only the reduction of serum lipid level but also anti-inflammatory effects. Serum high sensitive CRP is known to be a predictor of cardiovascular events independent of other conventional risk factors. The present substudy examine whether such pleiotrophic effect of HMG-CoA reductase inhibitor (statin) which decreases high sensitive CRP would be observed in the post-ischemic stroke patients who have already been registered in the J-STARS, and the relationship the values of high sensitive CRP and recurrence of stroke."
NCT05263804,"Ischemic stroke is the first cause of acquired disability of the adult, the second cause of dementia and the third cause of death in the industrialized countries, what constitutes à major public health issue. Stroke is characterized by a cerebral parenchymal lesion due to an ischemic mechanism (85% of the cases) or hemorrhagic mechanism (15%). For a long time, the only approved treatment was the intravenous thrombolysis (rt-PA). Recently, thrombectomy has proven its superiority in this pathology.

Cohorts of patients with stroke are rare but can be very valuable by their clinical, laboratory and imaging well documented. They are the source of new hypotheses for research or interventions as well as the quality of care assessment tool.

The main objective of this project is to identify new markers: biological and imaging, treatment response and prognosis after ischemic stroke.

Secondary objectives of the HIBISCUS-STROKE II cohort are to establish a clinical database, completed by biological samples and by imaging data that can be used in the following areas:

Descriptive epidemiology of ischemic stroke and cerebral reperfusion, Pharmacoepidemiology and treatments observatory: safety, efficacy, indication of treatment in real life, costs Assessment of the long-term effect of the treatment on the occurrence of disability, stroke recurrence and death, Quality of life and personal, familial, professional and social consequences of stroke, Research of new diagnostic and prognostic biomarkers, Research projects.

Ancillary study :

Cardiac complications are the second leading cause of death after stroke. A close relationship between brain damage and heart complications, referred to as ""neuro-cardiac syndrome"" has been established. 20% of patients admitted for ischemic stroke present at least one major cardiac event, including acute coronary syndrome, heart failure and / or cardiac arrhythmia, within three months of the event, while 28% have a left ventricular ejection fraction less than 50%. However, the underlying pathological mechanisms remain unclear and the therapeutic targets unknown. To study these mechanisms, an ancillary study will be proposed to patient whom accepted to participate in the main project research.

The general objective of the ancillary study is to identify early markers of cardiac damage during ischemic stroke having benefited from mechanical recanalization by thrombectomy, and to improve the understanding of the pathophysiology at the origin of cardiac complications in the course of an ischemic stroke with the final objective of identifying new therapeutic targets."
NCT00363753,Pilot study of continuing aspirin versus switching to clopidogrel after stroke or transient ischemic attack.
NCT05623137,"Post-stroke sleep disorder and motor/cognitive dysfunction are common complications that affect the quality of life of older patients. The proposed study investigates the effects of an acupuncture-like method applied to six bilateral acupoints on sleep quality, motor function and cognition in older adults with chronic stroke. The study will be a single-blind (i.e., only patients will be blinded about the research purpose) randomized controlled trial (i.e., patients receiving the treatment is chosen at random) with a pre-mid-post follow-up design and involve two parallel groups of post-stroke survivors (aged > 55 years) diagnosed with insomnia. Participants will be randomly allocated in a 1:1 radio to two independent groups, i.e., a treatment group or placebo group, namely a transcutaneous electrical nerve stimulation placed on acupoints (Acu-TENS) or a placebo group. The Acu-TENS group will receive a 6-week treatment that includes a 30-minute Acu-TENS + sleep hygiene program (SHP) twice a week. The placebo group will receive sham Acu-TENS (i.e., devices with the electrical circuit disconnected) + SHP with the same frequency as the Acu-TENS group. The selected acupoints will be bilateral Hegu (LI4), Quchi (LI11), Neiguan (PC6), Shenmen (HT7) on the arm and Sanyinjiao (SP6) and Zusanli (ST36) on the lower limb. The study's primary outcomes will be sleep quality measured by the device of ActiGraph and the self-report survey. The secondary outcomes will be motor function, measured by physical performance tests, cognition, measured by computer battery, and quality of life, measured by the self-report survey. All outcomes will be measured at the baseline assessment (before the treatment), mid-term assessment (after the three weeks treatment), post-treatment assessment (after the six-week treatment), and follow-up assessment (two weeks after the treatment ended). It is hypothesized that the Acu-TENS + SHP treatment will better alleviate insomnia, improve cognition and motor function in participants than the sham Acu-TENS + SHP treatment."
NCT04608838,"The objective of this study is to evaluate the safety and efficacy of a single intravenous administration of JTR-161 (allogeneic stem cell product derived from the dental pulp of healthy adult humans) to patients with acute ischemic stroke.

This study is comprised of 3 cohorts and conducted in the order of Cohort 1, Cohort 2 and Cohort 3.

Cohort 1 Arm-1: JTR-161, 1 × 10^8 cells/subject, 6 subjects Arm-2: Placebo, 2 subjects

The Data and Safety Monitoring Board (DSMB) and the Sponsor will decide whether Cohort 2 can be initiated or not.

Cohort 2 Arm-1: JTR-161, 3 × 10^8 cells/subject, 6 subjects Arm-2: Placebo, 2 subjects

DSMB and the Sponsor will decide whether Cohort 3 can be initiated or not and the dose of JTR-161 in Cohort 3.

Cohort 3 Arm-1: JTR-161, 1 × 10^8 cells/subject or 3 × 10^8 cells/subject, 30 subjects Arm-2: Placebo, 30 subjects"
NCT00283088,The purpose of this trial is to evaluate if it is safe to use tissue plasminogen activator (tPA) within 6 hours of stroke onset when combined with hypothermia.
NCT00283881,"This study will determine if stimulation of the stroke-injured side of the brain combined with stimulation to the paralyzed hand can temporarily improve the sense of touch in stroke patients.

Healthy normal volunteers and people who have had a single stroke within 3 months of entering the study that affected one side of the brain may be eligible for this study. All participants must be between 18 and 90 years old and must be right-handed. Candidates are screened with a medical history, neurological examination and magnetic resonance imaging (MRI) of the brain if one has not been done within 1 year of entering the study.

Participants undergo the following tests and procedures during four 2-day sessions over about 6 weeks:

Peripheral high-frequency stimulation: Small loudspeakers are taped to the fingertips and simple tactile pulses are passed through the skin. Stimulation may be sham or real.
Transcranial direct current stimulation: Two small rubber electrodes are taped to the head - one above the eye and the other on the back of the head. A current is passed between the two electrodes. Stimulation may be sham or real.
MRI: The subject lies in the scanner, a metal cylinder surrounded by a magnetic field, for about 40 minutes, lying still for up to 40 minutes at a time. An electrical stimulation is applied to the fingers of the right and left hand in separate sessions. Earplugs are worn to muffle the loud noises during the scanning. Functional MRI measures blood flow changes in the brain during the performance of specific tasks.

Behavioral measurements:

Grating orientation task: The subject responds as quickly as possible to a touch stimulus to the finger by saying whether the direction of the stimulus is vertical or horizontal.
Haptic object recognition task: The subject is given five categories of unfamiliar objects in the shape of cubes. During the task, identical objects are hidden in a sack. With eyes closed, the subject is asked to identify and find the objects from the sack as quickly as possible.
Pegboard test: The subject is asked to place several pegs into a corresponding hole of a pegboard as soon as possible.
Tapping task: The subject is asked to tap a metal stick on a metal plate as quickly as possible for 1 minute.
Paired-pulse transcranial magnetic stimulation: This test measures changes in brain activity. A wire coil is held on the scalp and a brief electrical current is passed through the coil, creating a magnetic pulse that stimulates the brain. The subject hears a click and may fee a pulling sensation on the skin under the coil, and there may be a twitch in the muscles of the face, arm or leg. Subjects may be asked to tense certain muscles slightly or perform other simple actions.
Paired-pulse somatosensory evoked potential mapping: This test measures brain activity in another brain area. The subject is seated in a chair with eyes closed. One electrode is placed above the eye and two others are placed on the back of the head. A short electrical stimulus is applied to a nerve in the wrist and brain activity is recorded while the stimulus is applied.
Surface electromyography: This test measures the electrical activity of muscles. Electrodes are filed with a conductive gel and taped to the skin.
Visual analog and mood scale: Subjects complete questionnaires about their attention, fatigue and mood."
NCT00284115,Modern concepts of gait rehabilitation after stroke favor a task-specific repetitive approach. This study aims to test the efficacy on gait recovery of a mechanized gait trainer enabling nonambulatory patients to have the repetitive practice of a gait-like movement.
NCT00286702,"After a stroke, many people develop contracture of the muscles in their affected wrist and hand which leads to a permanently clenched, painful hand. A contracture is often treated by therapists who use hand splinting to prevent it occurring or slow down its progression. Despite their wide use, there has not been research completed to investigate whether or not splinting prevents contracture in people following stroke. In fact, this project will be the first of its kind in the world and is therefore vital to stroke rehabilitation.

The study is a multi-centre, randomised controlled trial that will measure the effect of hand-splinting in two positions on the prevention of contracture, functional use of the hand, and quality of life."
NCT01101711,"Investigation of the incidence of endocrine dysfunction following subarachnoid hemorrhage (SAH), and to see if this has a relation to CNS lesions as evaluated by MRI and to common symptoms after SAH such as general exhaustion, lack of initiative, increased sleep demand and reduced quality of life."
NCT00288834,"This project proposes to evaluate the relative effectiveness of four therapy protocols for pharyngeal phase swallowing impairment in the stroke population. Data derived from this study should contribute significantly to our understanding of the rehabilitative process in the neurogenic dysphagic population and will provide the foundation for the establishment of efficacious, cost-efficient patient services.

1. Research Question to be addressed

The utilization of SEMG biofeedback monitoring in dysphagia rehabilitation facilitates more rapid and complete recovery than traditional rehabilitation using the same swallowing exercises without exteroceptive feedback.
Swallowing rehabilitation provided in an intensive rehabilitative programme (10 hrs of treatment in the 1st week) facilitates more rapid and complete recovery than traditionally scheduled swallowing rehabilitation (twice weekly)."
NCT03733223,"The primary aim of the study is to investigate the relationships among FVIII, t-PA/PAI-1, MMP-9 levels, and intracranial hemorrhage after thrombolysis with alteplase using a combined analysis."
NCT04019522,"Of the 795,000 people who experience a stroke every year in the US, only a small percentage will achieve full recovery. While current therapies promote strength and endurance, none directly address the unique potential of the brain to reorganize following injury. The goal of this project is to explore the effects of a novel therapy, acute intermittent hypoxia (AIH). During this therapy, individuals receive brief bouts of reduced oxygen levels by inhalation through a face mask. (This is akin to being on top of a tall mountain). In brief exposures, AIH is known to trigger the release of specific proteins that help the brain adapt to oxygen reductions. Published results in people with incomplete spinal cord injury have shown that AIH enhances muscle strength and coordination rather quickly. The research team aims to study the effects of AIH in stroke survivors."
NCT00295399,"The goal of this project is to develop a low-cost, user-friendly, portable telerehabilitation system for physical therapy of the upper limb after stroke or traumatic brain injury. The system is based on the use of a commercially available force feedback joystick and will work with an ordinary home PC and a standard high-speed internet connection. Using the joystick, the patient will perform exercises designed to aid in recovering motor function of the hand and arm. The joystick will be programmed to either assist or resist the patient's movements. The system will include sophisticated analysis of patient status and progress to provide the therapist and physician with detailed information. In the first phase of the study, we will develop the system in cooperation with the physical therapy staff and other rehabilitation specialists. The investigators will examine the usability, comfort, safety and therapeutic benefit of the system. In the second phase of the study, the investigators will employ the system in patients' homes, using the internet to connect to rehabilitation specialists in the clinic. The study hypothesis is that it is possible to adapt commercially available, low cost gaming equipment such as force feedback joysticks to provide therapy for patients in their own homes, and that patients will be able to work with this system and will find it enjoyable and helpful for recovering motor function."
