"nct_id","brief_title","condition","intervention_type","intervention"
"NCT02006602","Bioavailability Study of Candesartan Cilexetil 16mg Tablet Under Fasting Conditions","Hypertension","Drug","Candesartan cilexetil (GW615775, Test formulation)"
"NCT04110041","Effects of Aerobic Exercise Intensity on Clinical & Neural Outcomes in Depressed Youth","Depression","Behavioral","Aerobic Exercise"
"NCT00031798","Methylphenidate to Improve Quality of Life in Patients Undergoing Radiation Therapy for Brain Tumors","Depression","Procedure","quality-of-life assessment"
"NCT00233103","Treatment of Post-Traumatic Brain Injury (TBI) Depression","Depression","Drug","Sertraline"
"NCT01914432","Efficacy and Safety Study of YH16410 Versus Rosuvastatin and Telmisartan Monotherapies in Patients With Hypertension and Hyperlipidemia","Hypertension","Drug","Telmisartan placebo"
"NCT03359486","Pilot Feasibility Study of Psychosocial Support to Improve Well-being of Adults in Humanitarian Crises in Nepal","Depression","Behavioral","Enhanced treatment as usual"
"NCT01287767","A Support Program for Carers of Persons With Dementia","Depression","Behavioral","A multidimensional support program"
"NCT02222480","A Clinical Trial to Evaluate Efficacy, Tolerability, and Pharmacokinetic-Pharmacodynamic Relationship of Fimasartan/Hydrochlorothiazide","Hypertension","Drug","Fimasartan"
"NCT00999752","Study to Determine the Effects of Nebivolol and Hydrochlorothiazide in African Americans With Hypertension","Hypertension","Drug","Hydrochlorothiazide"
"NCT04709952","Postmarketing Clinical Trial of tDCS to Evaluate Cognitive Ability in Depression Patients","Depression","Device","Transcranial direct current stimulation_Sham"
"NCT00001622","Study of the Response of Human Small Blood Vessels","Hypertension","Procedure","investigate the relationship between in vivo and in vitro vascular responses"
"NCT00626340","Brain Imaging Study in Menopausal Women With and Without Major Depressive Disorder","Depression","Drug","MDD diagnosis and Fluoxetine treatment"
"NCT01472666","Dairy Lipids, Proteins, and the Metabolic Syndrome - ""DairyHealth""","Type 2 Diabetes","Dietary Supplement","Whey"
"NCT00932139","Effect of Electro-Acupuncture on Blood Pressure","Hypertension","Procedure","Electro-acupuncture test"
"NCT04327362","tDCS-Augmented Prolonged Exposure Therapy","Depression","Behavioral","Prolonged Exposure Therapy"
"NCT01244035","Safety, Pharmacodynamics, and Pharmacokinetics of Different Dosing Regimens of MK-8266 in Participants With Hypertension (MK-8266-008)","Hypertension","Drug","Treatment A"
"NCT02178176","Participatory Design of Patient-centered Depression and Diabetes Care","Depression","Behavioral","Education, encouragement"
"NCT01201382","Depression Prevention Initiative - A Study of Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST) in School Settings","Depression","Behavioral","IPT-AST"
"NCT02792400","The Role of Glucagon in the Effects of Dipeptidyl Peptidase-4 Inhibitors and Sodium-glucose Co-transporter-2 Inhibitors","Type 2 Diabetes","Drug","Empagliflozin"
"NCT00010478","Acupuncture and Hypertension","Hypertension","Procedure","Acupuncture"
"NCT04263285","Treatment of Depression Post-SCI","Depression","Device","rTMS"
"NCT02811055","Pilot Study of Aprepitant Effect on Aldosterone Secretion in Diabetic Patient (Diabetes Mellitus) With Hypertension Associated With Low Renin","Hypertension","Drug","Administration of Aprepitant"
"NCT01252563","Amlodipine 10mg Drug Use Investigation","Hypertension","Drug","Amlodipine"
"NCT01031680","Efficacy and Safety in Patients With Type 2 Diabetes Mellitus, Cardiovascular Disease and Hypertension","Hypertension","Drug","Placebo"
"NCT02200575","Pharmacovigilance and Patient Compliance in Hypertensive Patients","Hypertension","Drug","Telmisartan"
"NCT02145429","Preventing Depression in Late Life: A Model for Low and Middle Income Countries","Depression","Behavioral","Problem Solving therapy and Brief Behavioral Treatment of Insomnia"
"NCT01006460","A Study With Arctic Root Compared With the Extract When Combined With Schizandra and Russian Root (Adapt 232), Standardized Ginseng Extract and Placebo Regarding Impact on the Level of Energy, Ability to Work Under Stress, Quality of Life and Wellbeing, in Middleaged Women Who Are Still Employed","Depression","Drug","Panax ginseng"
"NCT02269072","Testosterone Regulation of the Natriuretic Peptide System","Hypertension","Drug","Leuprolide"
"NCT02290496","CBT Insomnia Teens: Augmenting SSRIs to Improve Youth Depression","Depression","Behavioral","CBT for Insomnia (CBT-I)"
"NCT01284465","Type 2 Diabetes Self-management Intervention for Low-income Women","Type 2 Diabetes","Behavioral","Control group"
"NCT02192333","Survivorship Care in Reducing Symptoms in Young Adult Cancer Survivors","Depression","Behavioral","Telephone-Based Intervention"
"NCT04334278","Development of a Mind Body Program for Obese Knee Osteoarthritis Patients With Comorbid Depression","Depression","Behavioral","GetHealthy-OA"
"NCT02655354","A Policy Relevant US Trauma Care System Pragmatic Trial for PTSD and Comorbidity","Depression","Drug","Prazosin"
"NCT05103332","Zilebesiran as Add-on Therapy in Patients With Hypertension Not Adequately Controlled by a Standard of Care Antihypertensive Medication (KARDIA-2)","Hypertension","Drug","Olmesartan"
"NCT02071498","A Spanish Pillbox App for Elderly Patients Taking Multiple Medications","Hypertension","Device","Pillbox app named ALICE"
"NCT05014919","Vortioxetine to Prevent Return of Symptoms in Children With Depression","Depression","Drug","Placebo"
"NCT02374567","Pharmacovigilance in Gerontopsychiatric Patients","Depression","Drug","Lormetazepam"
"NCT00847626","Efficacy and Safety of Azilsartan Medoxomil Combined With Chlorthalidone in Participants With Moderate to Severe Hypertension","Hypertension","Drug","Azilsartan medoxomil and chlorthalidone"
"NCT03223389","Fat Metabolites and Gut Hormones","Type 2 Diabetes","Dietary Supplement","C-8 dietary oil"
"NCT01442987","Efficacy and Safety of Irbesartan and Atorvastatin in Hypertension and Hyperlipidemia","Hypertension","Drug","Atorvastatin B"
"NCT05406791","Technology Enabled Services to Enhance Depression Care","Depression","Device","VIRA App"
"NCT02374788","Sophia Step Study - a Behaviour Change Program on Physical Activity in Persons With Pre- and Type 2 Diabetes","Type 2 Diabetes","Behavioral","Pedometer intervention"
"NCT02513927","The Effects of Nifedipine and Metoprolol on Blood Pressure Variability in Northern Chinese","Hypertension","Drug","metoprolol"
"NCT03011801","Reducing Fetal Exposure to Maternal Depression to Improve Infant Risk Mechanisms","Depression","Behavioral","Interpersonal Therapy"
"NCT03587103","Learning Implementation of Guideline-based Decision Support System for Hypertension Treatment: Testing Alternative Antihypertensive Regimens Using ACE-Inhibitors, Calcium Channel Blockers and Diuretics (LIGHT-ACD)","Hypertension","Behavioral","Protocol initiate with C"
"NCT05234476","Behavioral Activation Plus Savoring for University Students","Depression","Behavioral","Behavioral Activation plus Savoring"
"NCT00765674","Efficacy and Safety of Aliskiren/Amlodipine/Hydrochlorothiazide in Patients With Moderate-severe Hypertension","Hypertension","Drug","Aliskiren"
"NCT01402453","Monetary Incentives and Intrinsic Motivation to Sustain Hypertension Control","Hypertension","Behavioral","Intrinsic Motivation"
"NCT00353587","Safety and Efficacy Study of Metaglidasen in Type 2 Diabetes in Patients Suboptimally Controlled on Insulin","Type 2 Diabetes","Drug","Actos"
"NCT02078440","Pharmacokinetic Study of CYCLOSET ® 0.8 mg Tablets in Children and Adolescent Type 2 Diabetes Mellitus Subjects","Type 2 Diabetes","Drug","Bromocriptine mesylate"
"NCT05195827","Effect of PRM-125 on Ambulatory Blood Pressure","Hypertension","Drug","PRM-125"
"NCT00574145","Healing Touch in Treating Fatigue in Women Undergoing Radiation Therapy for Breast Cancer","Depression","Procedure","quality-of-life assessment"
"NCT03726710","Cut Your Blood Pressure 3","Hypertension","Behavioral","Blood Pressure measurement and pharmacy"
"NCT05367622","Blood Glucose Monitoring on Behavior Change in Type 2 Diabetes","Type 2 Diabetes","Behavioral","Usual diabetes health education"
"NCT01095653","A Phase III Study of BMS-512148 (Dapagliflozin) in Asian Patients With Type 2 Diabetes Who Are Not Well Controlled With Diet and Exercise","Type 2 Diabetes","Drug","Metformin"
"NCT03208816","Community-Led Action Research in Oncology: Improving Symptom Management","Depression","Behavioral","symptom management program for chemotherapy patients"
"NCT00455325","Chloroquine to Treat People With Metabolic Syndrome Aim2 (ARCH-MS)","Hypertension","Drug","Active Comparator: Fourth Intervention (3 weeks)"
"NCT00979459","A Study of the Pharmacokinetics of Two Formulations of MK-1006 (MK-1006-010 AM1)(COMPLETED)","Type 2 Diabetes","Drug","MK-1006 FCT"
"NCT03934398","Be-HealthY: Behavioral Risk Factors for Poor Vascular Health in Youth","Hypertension","Diagnostic Test","Cardiovascular Assessments"
"NCT04779437","Bayesian Sequential Single Case Methods to Personalize Low-Intensity Psychological Interventions: Initial Pilot Work","Depression","Behavioral","Cognitive Control Training"
"NCT02437084","Relationship Between Insulin Resistance and Statin Induced Type 2 Diabetes, and Integrative Personal Omics Profiling","Type 2 Diabetes","Drug","Atorvastatin"
"NCT01648998","Fludrocortisone and Information Processing in Healthy Volunteers","Depression","Drug","Fludrocortisone"
"NCT01851863","Compliance With Antidepressant Medication in Treatment of Functional Dyspepsia","Depression","Drug","Flupentixol-Melitracen(psychological and GI) + Omeprazole"
"NCT05423899","Humanoid Robot vs Treatment as Usual for Loneliness","Depression","Behavioral","Grace Robot"
"NCT04987047","Evaluation of the Relevance of Pharmacogenetics in the Prescription Off Antidepressants in a Military Population","Depression","Biological","Blood collection"
"NCT01796561","The Effect of Olive Leaf Extract on Blood Pressure in Overweight Prehypertensives","Hypertension","Dietary Supplement","Olive leaf extract liquid"
"NCT03013985","Glargine U300 Hospital Trial","Type 2 Diabetes","Drug","Glulisine Insulin"
"NCT00425997","Efficacy of Valsartan/Hydrochlorothiazide Versus Amlodipine and Hydrochlorothiazide in Patients Hypertension","Hypertension","Drug","Valsartan/HCTZ"
"NCT01575041","The Effects of Sodium and Potassium on Blood Pressure, Vascular Function and Renal Function","Hypertension","Drug","Placebo"
"NCT02177461","Telmisartan Compared With Enalapril in Elderly Patients With Blood Hypertension","Hypertension","Drug","Enalapril"
"NCT03001999","Boosting Emotions & Happiness in Outpatients Living With Diabetes: Phase I","Type 2 Diabetes","Behavioral","PP-MI health behavior intervention"
"NCT03371940","Program ACTIVE II: Behavioral Depression Treatment for Type 2 Diabetes","Depression","Behavioral","Program ACTIVE"
"NCT00974155","The Early Medication Change (EMC) Trial","Depression","Drug","Escitalopram, venlafaxine, lithium"
"NCT05101330","Impact of Bilingual Prescription Medication Labels Among Elderly Singaporeans","Hypertension","Device","Bilingual prescription medication labels"
"NCT01644916","""Consultation Liaison and Integrated Care for COPD Patients With Psychiatric Co-Morbidity""","Depression","Procedure","Integrated care"
"NCT05030545","Cardiovascular Manifestations of MR Activation in Primary Aldosteronism: Pilot Clinical Study","Hypertension","Drug","Eplerenone"
"NCT01245270","A Single Supplement of a Standardised Bilberry Extract Modifies Glycaemic Response","Type 2 Diabetes","Dietary Supplement","Control capsule first then bilberry cap"
"NCT00610649","Trial to Determine the Maximum Tolerated Dose (MTD) Based on Safety and Tolerability, of Org 26576 in Participants With Major Depressive Disorder (174001/P05704/MK-8777-001)","Depression","Drug","Placebo"
"NCT02374567","Pharmacovigilance in Gerontopsychiatric Patients","Depression","Drug","Fluphenazine"
"NCT04020796","Acute Effects of Beet Juice Intake on the Vascular Function of Hypertensive Patients","Hypertension","Dietary Supplement","Beetroot juice"
"NCT02198989","Effects of Peer Support and Yoga Music on T2DM With Depression and Sleep Disorders","Type 2 Diabetes","Behavioral","peer support and yoga music therapy"
"NCT02659748","Milk Fat Intake and Metabolic Health Markers","Type 2 Diabetes","Dietary Supplement","Milk Fat"
"NCT03987919","A Study of Tirzepatide (LY3298176) Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Participants With Type 2 Diabetes","Type 2 Diabetes","Drug","Semaglutide"
"NCT01740921","GLP-1 and Microvascular Function in Type 2 Diabetes","Type 2 Diabetes","Drug","Aspirin"
"NCT04412343","The Seniors COvid-19 Pandemic and Exercise Study","Depression","Behavioral","Personal Exercise Intervention"
"NCT00178490","Effect of High Blood Pressure and Antihypertensive Treatment on Brain Functioning in Children","Hypertension","Drug","High blood pressure treatment"
"NCT02973100","A Study of Investigational Dulaglutide Doses in Participants With Type 2 Diabetes on Metformin Monotherapy","Type 2 Diabetes","Drug","Placebo"
"NCT01455896","A Study to Evaluate Cardiovascular Outcomes in Patients With Type 2 Diabetes Treated With ITCA 650","Type 2 Diabetes","Drug","ITCA 650"
"NCT02234648","To Investigate the Effect of Tart Montmorency Cherry Juice (Prunus Cerasus) on Vascular Function.","Hypertension","Dietary Supplement","60mL tart Montmorency cherry juice"
"NCT00292903","Evaluating the Effectiveness of Brief Interpersonal Psychotherapy for Pregnant Women With Depression","Depression","Behavioral","Brief interpersonal psychotherapy"
"NCT04807348","Chiglitazar Added to Metformin for Type 2 Diabetes","Type 2 Diabetes","Drug","Metformin Hydrochloride"
"NCT00389168","Irbesartan and Atenolol in Hypertensive Heart Disease","Hypertension","Drug","Atenolol"
"NCT00938873","Understanding the Impact of Meditative Homework on Metacognitive Processes in the Context of Mindfulness Based Cognitive Therapy (MBCT)","Depression","Behavioral","Mindfulness Based Cognitive Therapy (MBCT)"
"NCT03426709","Efficacy of a Blended Low Intensity Internet-delivered Psychological Program in Patients With Multimorbidity in Primary Care.","Depression","Behavioral","Low intensity Internet-delivered psychotherapy"
"NCT02530840","Improving Adherence and Commitment to Treatment in Diabetic Patients","Type 2 Diabetes","Behavioral","SMS notification"
"NCT04218903","Resistance Plus Aerobic Training Using Different Weekly Frequencies And Hypertension","Hypertension","Behavioral","Combined training performed two times per week (CT2)"
"NCT02036814","Program for Health Promotion to Improve Therapeutic Compliance in Hypertensive Patiente","Hypertension","Behavioral","Program Health Education"
"NCT01192685","Transcranial Magnetic Stimulation in Major Depression With EEG and Near Infrared Spectroscopy (NIRS) Monitoring","Depression","Device","near infrared spectroscopy (NIRS)"
"NCT00795262","Effects of Quinapril 40 mg With Alpha Lipoic Acid or Placebo on Diabetes and Hypertension","Hypertension","Drug","accupril, placebo"
"NCT00547118","The Effects of Rimonabant, on Weight and Metabolic Risk Factors","Hypertension","Drug","Rimonabant"
"NCT02235415","Observation of the Efficacy and Tolerance of Motens® (Lacidipine) in Patients With Essential Hypertension","Hypertension","Drug","Motens® (lacidipine)"
"NCT00742014","The Assessment of Right Ventricular Contractility in Response to Sildenafil","Hypertension","Drug","Sildenafil"
"NCT00422630","The Metabolic Effects of Different Weight Loss Diets","Hypertension","Behavioral","Reduced calorie American Diet"
"NCT00637858","Effect of Different Doses of Tomato Lycopene on Blood Pressure in Pre-hypertensive Otherwise Healthy Subjects","Hypertension","Dietary Supplement","Lyc-O-Mato 30mg"
"NCT00329511","A Comparison of Compliance Between Clonidine Patch and Methyldopa for the Treatment of Chronic Hypertension in Pregnancy","Hypertension","Drug","methyldopa vs. clonidine"
"NCT04974151","China Stroke Primary Prevention Trial for Subjects With Hypertension and MTHFR 677 TT Genotype (CSPPT2-TT)","Hypertension","Drug","Amlodipine besylate And Folic Acid Tablets"
"NCT00702091","Bioequivalency Study of Ramipril 10 mg Capsules Under Fasting Conditions","Hypertension","Drug","Ramipril"
"NCT03653845","Adrenal Artery Ablation for Primary Aldosteronism","Hypertension","Drug","Sequenced antihypertensvie drugs with titrated dosage"
"NCT02739971","Dietary Reduction of AGEs to Prevent Cognitive Decline in Elderly Diabetics","Type 2 Diabetes","Behavioral","Standard of care dietary guidance for Type 2 diabetes"
"NCT05385614","Efficacy of Gamified Cognitive Control Training Using de:)Press on Depression Severity add-on to Treatment as Usual","Depression","Behavioral","de:)press"
"NCT01587326","The Effects of Escitalopram on Cytokines","Depression","Drug","Escitalopram"
"NCT04667520","Testing a Lifestyle Physical Activity Intervention for Women With Depression in Alcohol Treatment","Depression","Behavioral","Fitbit Only"
"NCT00057577","Prevention of Recurrence in Depression With Drugs and CT","Depression","Drug","Medications"
"NCT04610268","Mechanism Study of tDCS on Human Electrophysiological Network Via SEEG","Depression","Device","transcranial direct current stimulation"
"NCT00679653","Blood Pressure and Weight Trajectory on a Dual Antihypertensive Combination Plus Sibutramine Versus Placebo in Obese Hypertensives","Hypertension","Drug","metoprolol/HCT"
"NCT02240641","Effect of Caldine® on Renal Function in Balanced Hypertension","Hypertension","Drug","Lacidipine"
"NCT05531591","RCT of Brain Longitudinal Biomarker Study (OPT-Neuro RCT)","Depression","Drug","Switch to nortriptyline"
"NCT00640562","Quetiapine Extended Release Depression Symptoms","Depression","Drug","Quetiapine Extended Release"
"NCT02663479","Nutraceutical Supplement in the Management of Hypertension","Hypertension","Dietary Supplement","Cardiopressin"
