"nct_id","condition","intervention_type","intervention","overall_status","country","brief_title","study_description"
"NCT00002524","Lymphoma","Drug","Etoposide","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Fluorouracil","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Ifosfamide","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Leucovorin calcium","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Methotrexate","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Methylprednisolone","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Pentamidine","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Prednisone","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Trimethoprim-Sulfamethoxazole","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Vincristine Sulfate","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002524","Lymphoma","Drug","Zidovudine (AZT)","Completed","United States","Combination Chemotherapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining more than one drug may kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy in treating patients with AIDS-related lymphoma."
"NCT00002547","Leukemia","Drug","busulfan","Completed","United States","Chemotherapy and Bone Marrow Transplantation in Treating Patients Acute Myeloid With Leukemia or Myelodysplastic Syndrome","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining chemotherapy with bone marrow transplantation may allow the doctor to give higher doses of chemotherapy and kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of bone marrow transplantation following combination chemotherapy in treating patients with acute myeloid leukemia or myelodysplastic syndrome ."
"NCT00002547","Leukemia","Drug","cyclophosphamide","Completed","United States","Chemotherapy and Bone Marrow Transplantation in Treating Patients Acute Myeloid With Leukemia or Myelodysplastic Syndrome","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining chemotherapy with bone marrow transplantation may allow the doctor to give higher doses of chemotherapy and kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of bone marrow transplantation following combination chemotherapy in treating patients with acute myeloid leukemia or myelodysplastic syndrome ."
"NCT00002547","Leukemia","Drug","cyclosporine","Completed","United States","Chemotherapy and Bone Marrow Transplantation in Treating Patients Acute Myeloid With Leukemia or Myelodysplastic Syndrome","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining chemotherapy with bone marrow transplantation may allow the doctor to give higher doses of chemotherapy and kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of bone marrow transplantation following combination chemotherapy in treating patients with acute myeloid leukemia or myelodysplastic syndrome ."
"NCT00002547","Leukemia","Drug","cytarabine","Completed","United States","Chemotherapy and Bone Marrow Transplantation in Treating Patients Acute Myeloid With Leukemia or Myelodysplastic Syndrome","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining chemotherapy with bone marrow transplantation may allow the doctor to give higher doses of chemotherapy and kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of bone marrow transplantation following combination chemotherapy in treating patients with acute myeloid leukemia or myelodysplastic syndrome ."
"NCT00002547","Leukemia","Drug","methotrexate","Completed","United States","Chemotherapy and Bone Marrow Transplantation in Treating Patients Acute Myeloid With Leukemia or Myelodysplastic Syndrome","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Combining chemotherapy with bone marrow transplantation may allow the doctor to give higher doses of chemotherapy and kill more cancer cells.

PURPOSE: Phase II trial to study the effectiveness of bone marrow transplantation following combination chemotherapy in treating patients with acute myeloid leukemia or myelodysplastic syndrome ."
"NCT00002548","Multiple Myeloma","Drug","carmustine","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","cyclophosphamide","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","dexamethasone","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","doxorubicin hydrochloride","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","melphalan","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","prednisone","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002548","Multiple Myeloma","Drug","vincristine sulfate","Completed","United States","SWOG-9321 Melphalan, TBI, and Transplant vs Combo Chemo in Untreated Myeloma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Combining chemotherapy and radiation therapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy and radiation therapy and kill more cancer cells. It is not yet known which treatment regimen is more effective for multiple myeloma.

PURPOSE: Randomized phase III trial to compare the effectiveness of melphalan, total-body irradiation, and peripheral stem cell transplantation with that of combination chemotherapy in treating patients who have previously untreated multiple myeloma."
"NCT00002551","Colorectal Cancer","Drug","fluorouracil","Completed","United States","SWOG-9304 Chemotherapy Plus Radiation Therapy in Treating Patients With Rectal Cancer That Has Been Surgically Removed","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumor cells. It is not yet known which treatment regimen is more effective for rectal cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of different regimens of combination chemotherapy plus radiation therapy in treating patients who have rectal cancer that has been surgically removed."
"NCT00002551","Colorectal Cancer","Drug","leucovorin calcium","Completed","United States","SWOG-9304 Chemotherapy Plus Radiation Therapy in Treating Patients With Rectal Cancer That Has Been Surgically Removed","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumor cells. It is not yet known which treatment regimen is more effective for rectal cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of different regimens of combination chemotherapy plus radiation therapy in treating patients who have rectal cancer that has been surgically removed."
"NCT00002551","Colorectal Cancer","Drug","levamisole hydrochloride","Completed","United States","SWOG-9304 Chemotherapy Plus Radiation Therapy in Treating Patients With Rectal Cancer That Has Been Surgically Removed","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumor cells. It is not yet known which treatment regimen is more effective for rectal cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of different regimens of combination chemotherapy plus radiation therapy in treating patients who have rectal cancer that has been surgically removed."
"NCT00002571","Lymphoma","Drug","cyclophosphamide","Completed","United States","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Antiviral therapy may be effective treatment for AIDS-related lymphoma.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy, radiation therapy, and antiviral therapy in treating patients who have AIDS-related lymphoma."
"NCT00002571","Lymphoma","Drug","cytarabine","Completed","United States","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Antiviral therapy may be effective treatment for AIDS-related lymphoma.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy, radiation therapy, and antiviral therapy in treating patients who have AIDS-related lymphoma."
"NCT00002571","Lymphoma","Drug","doxorubicin hydrochloride","Completed","United States","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Antiviral therapy may be effective treatment for AIDS-related lymphoma.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy, radiation therapy, and antiviral therapy in treating patients who have AIDS-related lymphoma."
"NCT00002571","Lymphoma","Drug","etoposide","Completed","United States","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Antiviral therapy may be effective treatment for AIDS-related lymphoma.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy, radiation therapy, and antiviral therapy in treating patients who have AIDS-related lymphoma."
"NCT00002571","Lymphoma","Drug","Intrathecal cytarabine","Completed","United States","SWOG-9320 Combination Chemotherapy, Radiation Therapy, and Antiviral Therapy in Treating Patients With AIDS-Related Lymphoma","RATIONALE: Drugs used in chemotherapy use different ways to stop cancer cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage cancer cells. Antiviral therapy may be effective treatment for AIDS-related lymphoma.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy, radiation therapy, and antiviral therapy in treating patients who have AIDS-related lymphoma."
